timestamp_ms,pupilDiameter_px_L_M,pupilUndistortedDiameter_px_L_M,pupilPhysicalDiameter_mm_L_M,pupilWidth_px_L_M,pupilHeight_px_L_M,pupilAxisRatio_L_M,pupilCenterX_px_L_M,pupilCenterY_px_L_M,pupilAngle_deg_L_M,pupilCircumference_px_L_M,pupilConfidence_L_M,pupilOutlineConfidence_L_M,BRISQUEFullImage_L_M,BRISQUEPDROI_L_M,trial,message,cameraTemperature_c_M,cameraTemperature_c_S
1766057311319,46.9422,-1,-1,44.2749,46.9422,1.06024,196.438,107.682,86.0239,143.314,0.944444,0.944444,-1,-1,1,,53,0
1766057311344,47.1975,-1,-1,44.4722,47.1975,1.06128,196.683,107.805,82.5514,144.026,0.914286,0.914286,-1,-1,1,,53,0
1766057311369,47.0763,-1,-1,44.6087,47.0763,1.05532,196.54,107.811,80.5544,144.044,0.939394,0.939394,-1,-1,1,,53,0
1766057311394,47.3175,-1,-1,44.3997,47.3175,1.06572,196.815,108.073,75.9578,144.106,0.944444,0.944444,-1,-1,1,,53,0
1766057311419,47.3674,-1,-1,44.2042,47.3674,1.07156,193.989,110.019,80.3734,143.883,0.9375,0.9375,-1,-1,1,,53,0
1766057311444,47.2164,-1,-1,44.5761,47.2164,1.05923,194.354,109.669,76.3306,144.217,0.944444,0.944444,-1,-1,1,,53,0
1766057311469,47.0383,-1,-1,44.5173,47.0383,1.05663,194.304,109.487,77.5389,143.842,0.944444,0.944444,-1,-1,1,,53,0
1766057311494,47.4274,-1,-1,44.8132,47.4274,1.05833,194.473,109.702,74.4612,144.92,0.972222,0.972222,-1,-1,1,,53,0
1766057311519,47.0625,-1,-1,44.8405,47.0625,1.04955,194.63,109.56,81.4336,144.382,0.970588,0.970588,-1,-1,1,,53,0
1766057311544,47.7265,-1,-1,44.6548,47.7265,1.06879,196.828,109.403,81.3109,145.152,0.941176,0.941176,-1,-1,1,,53,0
1766057311569,47.2506,-1,-1,45.0549,47.2506,1.04874,196.183,109.144,82.2968,145.014,0.942857,0.942857,-1,-1,1,,53,0
1766057311594,47.583,-1,-1,44.7079,47.583,1.06431,196.471,108.654,78.4797,145.005,0.942857,0.942857,-1,-1,1,,53,0
1766057311619,47.2068,-1,-1,45.0113,47.2068,1.04878,196.489,109.179,82.02,144.876,0.941176,0.911765,-1,-1,1,,53,0
1766057311644,46.9174,-1,-1,44.6818,46.9174,1.05003,196.401,109.227,82.0939,143.905,0.942857,0.914286,-1,-1,1,,53,0
1766057311669,47.0414,-1,-1,44.8595,47.0414,1.04864,196.377,109.504,83.1259,144.378,0.916667,0.916667,-1,-1,1,,53,0
1766057311693,47.3059,-1,-1,44.8358,47.3059,1.05509,196.413,109.522,78.2568,144.762,0.942857,0.942857,-1,-1,1,,53,0
1766057311718,47.7181,-1,-1,44.6099,47.7181,1.06967,196.597,109.425,75.9363,145.07,0.944444,0.944444,-1,-1,1,,53,0
1766057311743,47.2489,-1,-1,44.6926,47.2489,1.0572,196.879,109.596,82.5227,144.449,0.942857,0.942857,-1,-1,1,,53,0
1766057311768,47.0664,-1,-1,45.0277,47.0664,1.04528,196.713,110.202,86.0217,144.679,0.944444,0.944444,-1,-1,1,,53,0
1766057311793,47.2473,-1,-1,44.3334,47.2473,1.06573,196.486,110.328,83.3467,143.891,0.944444,0.944444,-1,-1,1,,53,0
1766057311818,47.0765,-1,-1,44.5665,47.0765,1.05632,196.434,109.947,82.4787,143.979,0.916667,0.916667,-1,-1,1,,53,0
1766057311843,47.0406,-1,-1,44.6123,47.0406,1.05443,196.62,109.844,78.3519,143.993,0.942857,0.942857,-1,-1,1,,53,0
1766057311868,46.6709,-1,-1,44.4117,46.6709,1.05087,196.886,109.704,75.8918,143.094,0.944444,0.944444,-1,-1,1,,53,0
1766057311893,46.9577,-1,-1,44.2237,46.9577,1.06182,196.811,109.826,79.1571,143.26,0.939394,0.939394,-1,-1,1,,53,0
1766057311918,46.7651,-1,-1,43.9582,46.7651,1.06385,196.57,109.994,81.2807,142.542,0.909091,0.909091,-1,-1,1,,53,0
1766057311943,46.4782,-1,-1,44.3671,46.4782,1.04758,196.611,109.792,76.6919,142.719,0.944444,0.944444,-1,-1,1,,53,0
1766057311968,45.8796,-1,-1,44.226,45.8796,1.03739,196.872,109.452,76.545,141.55,0.944444,0.944444,-1,-1,1,,53,0
1766057311993,46.4309,-1,-1,43.8653,46.4309,1.05849,196.753,109.187,74.5378,141.866,0.944444,0.944444,-1,-1,1,,53,0
1766057312018,46.1782,-1,-1,43.7418,46.1782,1.0557,196.929,109.308,72.2938,141.272,0.914286,0.914286,-1,-1,1,,53,0
1766057312043,46.882,-1,-1,43.4552,46.882,1.07886,197.094,109.815,80.3685,141.952,0.9375,0.9375,-1,-1,1,,53,0
1766057312068,46.2655,-1,-1,43.8593,46.2655,1.05486,196.933,110.078,75.91,141.593,0.944444,0.944444,-1,-1,1,,53,0
1766057312093,46.482,-1,-1,43.6606,46.482,1.06462,197.121,110.215,77.6361,141.63,0.944444,0.944444,-1,-1,1,,53,0
1766057312118,45.9783,-1,-1,43.8392,45.9783,1.04879,197.209,110.196,73.6617,141.105,0.916667,0.916667,-1,-1,1,,53,0
1766057312143,45.8683,-1,-1,43.6888,45.8683,1.04989,197.061,110.206,72.2844,140.697,0.914286,0.914286,-1,-1,1,,53,0
1766057312168,45.9012,-1,-1,43.559,45.9012,1.05377,197.259,110.752,76.438,140.548,0.944444,0.944444,-1,-1,1,,53,0
1766057312193,46.1981,-1,-1,43.5888,46.1981,1.05986,197.297,110.789,79.6851,141.067,0.939394,0.939394,-1,-1,1,,53,0
1766057312218,46.0584,-1,-1,43.4342,46.0584,1.06042,197.273,110.709,77.4252,140.605,0.944444,0.944444,-1,-1,1,,53,0
1766057312243,45.5359,-1,-1,43.5013,45.5359,1.04677,196.964,110.343,75.6616,139.878,0.944444,0.944444,-1,-1,1,,53,0
1766057312268,45.4752,-1,-1,43.7178,45.4752,1.0402,197.257,110.023,72.359,140.118,0.942857,0.914286,-1,-1,1,,53,0
1766057312293,45.9485,-1,-1,43.4293,45.9485,1.05801,197.159,110.138,73.8796,140.422,0.916667,0.916667,-1,-1,1,,53,0
1766057312317,45.9193,-1,-1,43.4211,45.9193,1.05753,197.112,110.181,72.5502,140.363,0.914286,0.914286,-1,-1,1,,53,0
1766057312342,45.6348,-1,-1,43.1899,45.6348,1.05661,196.993,110.173,80.73,139.552,0.9375,0.9375,-1,-1,1,,53,0
1766057312367,45.8373,-1,-1,43.2461,45.8373,1.05992,197.265,109.659,77.2209,139.961,0.944444,0.944444,-1,-1,1,,53,0
1766057312392,45.7195,-1,-1,43.4576,45.7195,1.05205,197.422,109.505,74.0576,140.102,0.916667,0.916667,-1,-1,1,,53,0
1766057312417,45.7289,-1,-1,43.4818,45.7289,1.05168,197.423,109.595,73.3158,140.154,0.914286,0.914286,-1,-1,1,,53,0
1766057312442,45.646,-1,-1,43.2386,45.646,1.05568,197.355,109.854,75.9709,139.645,0.916667,0.916667,-1,-1,1,,53,0
1766057312467,46.1147,-1,-1,43.3559,46.1147,1.06363,197.415,109.948,73.4871,140.574,0.916667,0.916667,-1,-1,1,,53,0
1766057312492,45.4913,-1,-1,43.3562,45.4913,1.04924,197.316,109.662,75.9642,139.581,0.916667,0.916667,-1,-1,1,,53,0
1766057312517,46.1338,-1,-1,43.5857,46.1338,1.05846,197.491,109.397,70.9891,140.96,0.941176,0.941176,-1,-1,1,,53,0
1766057312542,46.4613,-1,-1,43.7028,46.4613,1.06312,197.594,109.069,64.3747,141.663,0.916667,0.916667,-1,-1,1,,53,0
1766057312567,46.0461,-1,-1,43.4612,46.0461,1.05948,197.724,109.3,82.0238,140.627,0.914286,0.914286,-1,-1,1,,53,0
1766057312592,45.9325,-1,-1,43.6577,45.9325,1.05211,197.462,109.101,78.5285,140.751,0.942857,0.942857,-1,-1,1,,53,0
1766057312617,45.7211,-1,-1,43.7484,45.7211,1.04509,197.251,109.372,71.8108,140.555,0.909091,0.909091,-1,-1,1,,53,0
1766057312642,45.9559,-1,-1,43.6754,45.9559,1.05221,197.508,109.234,78.5091,140.815,0.942857,0.942857,-1,-1,1,,53,0
1766057312667,46.3585,-1,-1,43.8803,46.3585,1.05648,197.754,108.942,73.1186,141.774,0.944444,0.944444,-1,-1,1,,53,0
1766057312692,46.1339,-1,-1,43.8921,46.1339,1.05107,197.376,109.613,79.986,141.434,0.941176,0.941176,-1,-1,1,,53,0
1766057312717,46.5167,-1,-1,43.7773,46.5167,1.06258,197.158,109.091,69.0695,141.866,0.941176,0.941176,-1,-1,1,,53,0
1766057312742,46.4862,-1,-1,43.9053,46.4862,1.05878,197.157,109.442,76.6654,142.016,0.944444,0.944444,-1,-1,1,,53,0
1766057312767,46.6053,-1,-1,44.0469,46.6053,1.05808,197.517,109.802,76.1796,142.424,0.944444,0.944444,-1,-1,1,,53,0
1766057312792,46.3725,-1,-1,44.3175,46.3725,1.04637,197.21,108.798,77.9393,142.474,0.944444,0.944444,-1,-1,1,,53,0
1766057312817,46.6364,-1,-1,44.1154,46.6364,1.05715,196.847,109.765,78.5355,142.58,0.942857,0.942857,-1,-1,1,,53,0
1766057312842,46.2363,-1,-1,44.3269,46.2363,1.04308,196.912,109.033,77.1701,142.272,0.944444,0.944444,-1,-1,1,,53,0
1766057312867,46.3629,-1,-1,44.4705,46.3629,1.04255,197.326,108.986,74.615,142.696,0.944444,0.944444,-1,-1,1,,53,0
1766057312892,46.9991,-1,-1,44.2048,46.9991,1.06321,197.234,108.978,72.9259,143.296,0.911765,0.911765,-1,-1,1,,53,0
1766057312917,46.6534,-1,-1,44.6119,46.6534,1.04576,196.696,108.392,73.5789,143.377,0.942857,0.942857,-1,-1,1,,53,0
1766057312942,46.6241,-1,-1,44.7203,46.6241,1.04257,196.328,108.761,72.3025,143.499,0.971429,0.942857,-1,-1,1,,53,0
1766057312966,46.9786,-1,-1,44.752,46.9786,1.04975,196.693,108.729,80.7696,144.111,0.9375,0.9375,-1,-1,1,,53,0
1766057312991,46.9336,-1,-1,44.8547,46.9336,1.04635,197.151,108.805,74.8032,144.199,0.944444,0.944444,-1,-1,1,,53,0
1766057313016,47.4883,-1,-1,44.919,47.4883,1.0572,196.956,108.763,73.0591,145.181,0.944444,0.944444,-1,-1,1,,53,0
1766057313041,46.8045,-1,-1,44.911,46.8045,1.04216,196.457,108.868,77.7265,144.082,0.944444,0.944444,-1,-1,1,,53,0
1766057313066,47.0116,-1,-1,45.0201,47.0116,1.04424,196.719,109.013,79.9153,144.58,0.942857,0.942857,-1,-1,1,,53,0
1766057313091,47.205,-1,-1,45.1329,47.205,1.04591,197.117,109.062,81.891,145.062,0.939394,0.939394,-1,-1,1,,53,0
1766057313116,47.3544,-1,-1,44.9535,47.3544,1.05341,197.044,108.931,75.9966,145.021,0.944444,0.944444,-1,-1,1,,53,0
1766057313141,47.8629,-1,-1,45.241,47.8629,1.05795,196.692,108.646,77.2001,146.276,0.944444,0.944444,-1,-1,1,,53,0
1766057313166,47.33,-1,-1,45.5667,47.33,1.0387,196.305,108.771,78.4601,145.935,0.942857,0.942857,-1,-1,1,,53,0
1766057313191,47.971,-1,-1,45.4302,47.971,1.05593,196.722,108.619,75.2215,146.741,0.944444,0.944444,-1,-1,1,,53,0
1766057313216,48.0676,-1,-1,45.3746,48.0676,1.05935,197.097,108.726,81.4458,146.809,0.970588,0.970588,-1,-1,1,,53,0
1766057313241,48.123,-1,-1,45.7834,48.123,1.0511,196.716,108.415,76.1678,147.531,0.944444,0.944444,-1,-1,1,,53,0
1766057313266,48.014,-1,-1,45.559,48.014,1.05389,196.352,108.34,74.1977,147.01,0.944444,0.944444,-1,-1,1,,53,0
1766057313291,48.0491,-1,-1,45.8705,48.0491,1.04749,196.399,108.404,77.6347,147.548,0.944444,0.944444,-1,-1,1,,53,0
1766057313316,48.3117,-1,-1,45.6447,48.3117,1.05843,196.797,108.685,78.4927,147.616,0.942857,0.942857,-1,-1,1,,53,0
1766057313341,48.1263,-1,-1,45.7989,48.1263,1.05082,196.554,108.716,79.5563,147.56,0.970588,0.970588,-1,-1,1,,53,0
1766057313366,48.2143,-1,-1,45.8708,48.2143,1.05109,196.428,108.481,81.6899,147.811,0.941176,0.941176,-1,-1,1,,53,0
1766057313391,48.4446,-1,-1,46.111,48.4446,1.05061,196.193,108.298,79.022,148.55,0.939394,0.939394,-1,-1,1,,53,0
1766057313416,48.6321,-1,-1,46.0674,48.6321,1.05567,196.702,108.219,69.2848,148.781,0.970588,0.970588,-1,-1,1,,53,0
1766057313441,48.5069,-1,-1,46.189,48.5069,1.05018,196.918,108.603,76.952,148.77,0.972222,0.972222,-1,-1,1,,53,0
1766057313466,48.2556,-1,-1,46.518,48.2556,1.03735,196.616,108.218,74.9567,148.882,0.972222,0.944444,-1,-1,1,,53,0
1766057313491,48.6601,-1,-1,46.3439,48.6601,1.04998,196.486,108.195,74.143,149.254,0.972222,0.972222,-1,-1,1,,53,0
1766057313516,49.0033,-1,-1,46.3251,49.0033,1.05781,196.597,108.351,78.3395,149.771,0.971429,0.971429,-1,-1,1,,53,0
1766057313541,48.9933,-1,-1,46.2298,48.9933,1.05978,196.8,108.636,80.9866,149.607,0.969697,0.969697,-1,-1,1,,53,0
1766057313566,48.6464,-1,-1,46.3869,48.6464,1.04871,196.666,109.128,80.959,149.299,0.969697,0.969697,-1,-1,1,,53,0
1766057313590,48.3113,-1,-1,46.205,48.3113,1.04559,196.568,109.149,77.9621,148.484,0.944444,0.944444,-1,-1,1,,53,0
1766057313615,48.6955,-1,-1,46.2879,48.6955,1.05201,196.586,109.171,71.1927,149.224,0.939394,0.939394,-1,-1,1,,53,0
